";ITEM  RASCH_FT_FCIP_EXAMPLE  Jul 17 2023 20:27"
"ENTRY","MEASURE","STATUS","COUNT","SCORE","MODLSE","IN.MSQ","IN.ZSTD","OUT.MSQ","OUT.ZSTD","DISPLACE","PBSX","WEIGHT","OBSMATCH","EXPMATCH","PBSX-E","RMSR","WMLE","INDF","OUTDF","GROUPING","MODEL","RECODE","NAME"
50,-1.28381,1,500.0000,367.0000,.109973,1.0138,.2710,1.0032,.0710,.003553,.3398,1.0000,77.200,76.622,.3523,.4039,-1.28371,676.21,204.86,"0","R","K","MCQ_FT_17"
51,-1.17560,1,500.0000,358.0000,.108024,.9499,-.9691,.9138,-.9291,.003556,.4003,1.0000,77.600,75.457,.3594,.3980,-1.17551,746.91,233.67,"0","R","K","MCQ_FT_18"
52,1.052205,1,500.0000,145.0000,.107404,.9653,-.6690,.9305,-.7591,.003579,.4134,1.0000,76.200,75.224,.3825,.4036,1.052131,765.06,244.93,"0","R","K","MCQ_FT_19"
53,1.195912,1,500.0000,133.0000,.109925,1.0496,.9110,1.0561,.5911,.003579,.3255,1.0000,76.200,76.656,.3751,.4112,1.195820,673.84,205.67,"0","R","K","MCQ_FT_20"
54,-.635361,1,500.0000,312.0000,.100771,.9758,-.5790,.9887,-.1290,.003669,.3884,1.0000,71.600,70.587,.3725,.4325,-.635327,1162.2,370.32,"0","R","K","MCQ_FT_21"
55,.184980,1,500.0000,229.0000,.098411,.9926,-.1790,1.0096,.1810,.003716,.3959,1.0000,69.400,68.681,.3924,.4466,.184971,1386.0,561.59,"0","R","K","MCQ_FT_22"
56,1.345224,1,500.0000,122.0000,.112460,1.0052,.1110,1.1420,1.3411,.003739,.3524,1.0000,77.400,78.049,.3616,.3933,1.345110,587.90,183.71,"0","R","K","MCQ_FT_23"
57,.273634,1,500.0000,220.0000,.098744,1.0092,.2510,1.0305,.5210,.003720,.3806,1.0000,69.000,68.935,.3924,.4488,.273620,1348.0,543.22,"0","R","K","MCQ_FT_24"
58,-1.39129,1,500.0000,379.0000,.112297,1.0315,.5610,1.0170,.1910,.003614,.3041,1.0000,77.000,77.890,.3282,.3990,-1.39117,599.87,161.37,"0","R","K","MCQ_FT_25"
59,-.069181,1,500.0000,263.0000,.098384,1.0450,1.1710,1.0271,.5110,.003447,.3490,1.0000,67.000,68.721,.3908,.4584,-.069178,1358.8,670.33,"0","R","K","MCQ_FT_26"
60,2.245235,1,500.0000,68.0000,.136910,1.0356,.4310,1.2357,1.3612,.003792,.2321,1.0000,86.400,86.583,.2922,.3279,2.244819,254.08,70.73,"0","R","K","MCQ_FT_27"
61,2.099227,1,500.0000,76.0000,.131319,1.0096,.1410,1.0194,.1810,.003774,.3017,1.0000,84.200,85.126,.3041,.3376,2.098898,298.59,83.51,"0","R","K","MCQ_FT_28"
62,-.891497,1,500.0000,343.0000,.104879,.9442,-1.1791,.9695,-.3590,.003337,.3982,1.0000,76.200,73.607,.3606,.4087,-.891440,879.83,313.94,"0","R","K","MCQ_FT_29"
63,.432402,1,500.0000,212.0000,.099222,.9911,-.2090,1.0028,.0710,.003524,.4003,1.0000,70.000,69.625,.3915,.4426,.432380,1273.5,581.14,"0","R","K","MCQ_FT_30"
64,1.939792,1,500.0000,83.0000,.127953,1.0305,.4110,.8658,-.8691,.003803,.3193,1.0000,82.400,84.122,.3236,.3500,1.939517,329.54,85.13,"0","R","K","MCQ_FT_31"
65,.073022,1,500.0000,243.0000,.098521,.9623,-.9990,.9344,-1.0791,.003720,.4317,1.0000,69.200,68.776,.3980,.4393,.073018,1395.6,540.96,"0","R","K","MCQ_FT_32"
66,-.064695,1,500.0000,257.0000,.098553,1.0102,.2810,1.0647,1.0711,.003721,.3815,1.0000,68.200,68.778,.3972,.4499,-.064692,1388.3,544.29,"0","R","K","MCQ_FT_33"
67,-1.46578,1,500.0000,385.0000,.115232,.8817,-1.9691,.8289,-1.5192,.003696,.4233,1.0000,83.600,79.353,.3401,.3595,-1.46564,521.92,147.77,"0","R","K","MCQ_FT_34"
68,-.524661,1,500.0000,303.0000,.100652,.9918,-.1890,1.1322,1.8711,.003707,.3980,1.0000,71.000,70.467,.3875,.4365,-.524633,1167.2,425.13,"0","R","K","MCQ_FT_35"
69,.353215,1,750.0000,655.0000,.057966,1.0688,1.5411,1.0854,1.7011,.001965,.4589,1.0000,51.600,54.381,.5042,.6424,.353213,1029.4,820.20,"0","R","K","TEI_FT_01"
70,.214656,1,750.0000,667.0000,.057529,.9898,-.2190,.9701,-.5790,.001974,.5115,1.0000,54.800,53.855,.5045,.6229,.214655,1040.4,789.83,"0","R","K","TEI_FT_02"
71,.225156,1,750.0000,676.0000,.054356,.9848,-.3390,.9854,-.2590,.001988,.5118,1.0000,50.334,51.528,.5031,.6581,.225155,1083.6,697.73,"0","R","K","TEI_FT_03"
72,.179287,1,750.0000,684.0000,.052153,1.0362,.8410,1.0197,.3310,.002011,.5054,1.0000,48.331,50.364,.5262,.7035,.179287,1073.4,495.19,"0","R","K","TEI_FT_04"
73,1.147092,1,1000.000,1356.0000,.029437,.8071,-3.8192,.8483,-2.2392,.003341,.6935,1.0000,46.900,46.395,.6510,.9521,1.147091,689.61,398.07,"0","R","K","SCR_FT_01"
74,1.476370,1,1000.000,1024.0000,.033277,.8816,-1.9391,.8513,-2.3291,.003774,.6149,1.0000,53.800,50.555,.5798,.8802,1.476369,505.80,449.72,"0","R","K","SCR_FT_02"
